

Profile Data: all times in seconds, memory usage in kilobytes.
Begin: 3. toukota 2018 18:42:10.
End: 4. toukota 2018 09:44:49.
	VI Time	Sub VIs Time	Total Time	# Runs	Average	Shortest	Longest	Diagram	Display	Draw	Tracking	Locals	Avg Bytes	Min Bytes	Max Bytes	Avg Blocks	Min Blocks	Max Blocks	Project Library	Application Instance
NI_PackedLibraryUtility.lvlib:Get Exported File List.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0	NI_PackedLibraryUtility.lvlib	My Computer
Not Found Dialog.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
PCT Pad String.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,17k	3,17k	3,17k	1	1	1		My Computer
SW_Fire_TTL_at_start_stop.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,76k	6,76k	6,76k	4	4	4		My Computer
SW_Generate_Color_Ramp.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,00k	5,00k	5,00k	0	0	0		My Computer
SW_Get_save_paths.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	12,31k	12,31k	12,31k	80	80	80		My Computer
SW_Load_settings_to_main_tab.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	21,29k	21,29k	21,29k	27	27	27		My Computer
Search and Replace Pattern.vi	0,0000	0,0000	0,0000	4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,39k	5,35k	5,50k	2	2	2		My Computer
Set Bold Text.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,62k	6,62k	6,62k	1	1	1		My Computer
Set String Value.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Simple Error Handler.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	11,34k	11,34k	11,34k	6	6	6		My Computer
Space Constant.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Three Button Dialog CORE.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Three Button Dialog.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Trim Whitespace.vi	0,0000	0,0000	0,0000	57	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,55k	3,55k	3,55k	4	4	4		My Computer
VISA Configure Serial Port (Instr).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,60k	6,60k	6,60k	0	0	0		My Computer
VISA Configure Serial Port (Serial Instr).vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
